Sample Budget,Metric,Strategy A,Strategy B,Number of Pairs,Strategy A Mean,Strategy B Mean,Mean Difference A-B,Median Difference A-B,Better Mean Strategy,Strategy A Wins,Strategy B Wins,Ties,Wilcoxon Statistic,Wilcoxon Raw P,Paired T Statistic,Paired T Raw P,Rank-Biserial Correlation,Rank-Biserial Magnitude,Cohen Dz,Cohen Dz Magnitude,Wilcoxon Holm P,Paired T Holm P,Wilcoxon Significant,Paired T Significant
190,Log RMSE,Geographic,Uncertainty,10,0.5523278449077388,0.5814025567783967,-0.0290747118706579,-0.017990160533825628,Geographic,9,1,0,2.0,0.005859375,-2.050130541179547,0.07059884194819308,-0.9272727272727272,Large,-0.6483082010800992,Large,0.03515625,0.42359305168915845,True,False
200,Log RMSE,Geographic,Uncertainty,10,0.5486142061090649,0.5802570381355284,-0.03164283202646377,-0.01996032894682337,Geographic,10,0,0,0.0,0.001953125,-2.3726289937000886,0.04172878477938209,-1.0,Large,-0.7502911662645573,Large,0.01171875,0.2503727086762926,True,False
