Sample Budget,Metric,Strategy A,Strategy B,Number of Pairs,Strategy A Mean,Strategy B Mean,Mean Difference A-B,Median Difference A-B,Better Mean Strategy,Strategy A Wins,Strategy B Wins,Ties,Wilcoxon Statistic,Wilcoxon Raw P,Paired T Statistic,Paired T Raw P,Rank-Biserial Correlation,Rank-Biserial Magnitude,Cohen Dz,Cohen Dz Magnitude,Wilcoxon Holm P,Paired T Holm P,Wilcoxon Significant,Paired T Significant
200,Log RMSE,Hybrid,Uncertainty,10,0.5536436240365534,0.5802570381355284,-0.026613414098975052,-0.017632327292080974,Hybrid,9,1,0,5.0,0.01953125,-1.8621702000541929,0.09548272731806466,-0.8181818181818182,Large,-0.5888699223062656,Large,0.09765625,0.4774136365903233,False,False
200,Log RMSE,Geographic,Hybrid,10,0.5486142061090649,0.5536436240365534,-0.005029417927488722,-0.006528492449619228,Geographic,6,4,0,20.0,0.4921875,-0.9885765933623452,0.34870122559803846,-0.2727272727272727,Small,-0.31261536765551046,Moderate,0.984375,0.6974024511960769,False,False
200,Log RMSE,Hybrid,Random,10,0.5536436240365534,0.560204671078082,-0.006561047041528522,-0.010290444036217317,Hybrid,6,4,0,20.0,0.4921875,-0.907440295965572,0.38782529869689064,-0.2727272727272727,Small,-0.28695781758685107,Small,0.984375,0.6974024511960769,False,False
