Strategy,Samples Used,Log MAE mean,Log MAE std,Log MAE 95% CI,Log RMSE mean,Log RMSE std,Log RMSE 95% CI,Log R2 mean,Log R2 std,Log R2 95% CI,Original MAE mean,Original RMSE mean,Original R2 mean
geographic,200,0.3716893806611104,0.0154358168191742,0.011042118160894402,0.5486142061090648,0.0148021725192113,0.010588836334986994,0.1267396888749151,0.0470302014084033,0.03364337936669258,1.0957342948465445,3.219260275618379,0.0326346637093895
hybrid,200,0.3718801267428414,0.0139354084091892,0.009968790643035167,0.5536436240365534,0.0138726426404707,0.009923890716923832,0.110735165537144,0.0450948263610909,0.03225889546095435,1.0987770745248937,3.244713097385435,0.0175304153570645
random,200,0.4032939883455316,0.0244416182482124,0.01748448040695736,0.5602046710780819,0.0150963118873928,0.010799250963333477,0.0894529819156548,0.0491762170933713,0.035178546507255805,1.1564578075823575,3.178924808898828,0.0568783099094466
uncertainty,200,0.4109029717402722,0.0291111354649899,0.020824851795528062,0.5802570381355285,0.0464078283089233,0.0331981604718892,0.0181186628835999,0.1690351701437775,0.12092047631427755,1.2045235041232751,3.248693575208609,0.0135489414142602
