Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,Year,Month,Season,Log Microplastics Measurement
0253450-0000037,2013-06-08 05:00:00,38.086,11.957,Tyrrhenian Sea,0.0,Neuston net,0.2,0.454545,pieces/m3,Medium,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",2013,6,Summer,0.37469313694136186
0279322-0000021,2018-06-04 05:00:00,41.591,9.388333,Tyrrhenian Sea,0.0,Manta net,0.33,0.013188,pieces/m3,Medium,Caldwell et al. 2019,https://doi.org/10.1016/j.marpolbul.2019.110572,"University of Fribourg, Switzerland",2018,6,Summer,0.013101795411606413
0276422-0000673,2021-06-26 05:00:00,45.336667,13.318833,Adriatic Sea,0.0,Manta net,0.33,0.298631,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2021,6,Summer,0.2613106326693262
0276422-0000304,2016-10-16 05:00:00,43.0785,5.959667,Western Basin,0.0,Manta net,0.33,0.292284,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2016,10,Autumn,0.25641119544628554
0270530-0000111,2014-10-16 05:00:00,42.9104,9.4905,Tyrrhenian Sea,0.16,Manta net,0.333,2.069438,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,10,Autumn,1.1214944829519822
0260245-0000101,2015-05-17 05:00:00,32.823667,35.035,Eastern Basin,0.1,Manta net,0.333,0.411184,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2015,5,Spring,0.344429068337635
0277995-0000003,2020-10-17 05:00:00,40.254722,17.380833,Ionian Sea,0.0,Manta net,0.3,0.488145,pieces/m3,Medium,Trani et al. 2023,https://doi.org/10.1016/j.envpol.2022.120702,"International Centre for Advanced Mediterranean Agronomic Studies (CIHEAM) of Bari, Italy",2020,10,Autumn,0.39753037789988316
0270528-0000004,2019-03-15 05:00:00,37.9301,23.6659,Aegean Sea,0.0,Manta net,0.33,0.859628,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",2019,3,Spring,0.6203764677224428
0260245-0000083,2014-12-08 06:00:00,32.279667,34.825,Eastern Basin,0.1,Manta net,0.333,2.017974,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2014,12,Winter,1.1045857453317423
0270530-0000056,2014-08-16 05:00:00,34.7179,33.678,Eastern Basin,0.16,Manta net,0.333,0.645262,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,8,Summer,0.4978996420518504
0253450-0000012,2013-05-13 05:00:00,40.8845,18.954667,Adriatic Sea,0.0,Neuston net,0.2,3.962358,pieces/m3,High,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",2013,5,Spring,1.6018810309943312
