Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,Year,Month,Season,Log Microplastics Measurement
0270520-0000011,2013-07-14 05:00:00,43.3994,7.8494,Western Basin,0.1,Manta net,0.333,1.69186,pieces/m3,High,Pedrotti et al. 2016,https://doi.org/10.1371/journal.pone.0161581,Sorbonne Universités,2013,7,Summer,0.990232404486589
0314557-0000010,2014-03-14 05:00:00,45.5421,13.6079,Adriatic Sea,0.075,Neuston net,0.3,2.97,pieces/m3,High,Gajšt et al. 2016,https://doi.org/10.1016/j.marpolbul.2016.10.031,"University of Nova Gorica, Slovenia",2014,3,Spring,1.3787660946990992
0276422-0000042,2013-08-15 05:00:00,39.4475,3.351733,Balearic Sea,0.0,Manta net,0.33,4.054131,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2013,8,Summer,1.6202059286933996
0275966-0000022,2018-11-29 06:00:00,36.728415,2.795861,Western Basin,0.0,Manta net,0.33,0.724014,pieces/m3,Medium,Setiti et al. 2021,https://doi.org/10.12681/mms.24899,University Campus of Dely Ibrahim,2018,11,Autumn,0.544655292858181
0276422-0000009,2011-09-12 05:00:00,41.058333,8.106667,Western Basin,0.0,Manta net,0.33,0.543099,pieces/m3,Medium,Faure et al. 2015,https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",2011,9,Autumn,0.4337927320486712
0276422-0000843,2022-07-02 05:00:00,41.151669,9.568334,Tyrrhenian Sea,0.0,Manta net,0.33,0.069608,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2022,7,Summer,0.06729222620918876
0314556-0000008,2013-07-01 05:00:00,39.89,8.5276,Western Basin,0.5,Manta net,0.5,0.19,pieces/m3,Medium,de Lucia et al. 2014,https://doi.org/10.1016/j.marenvres.2014.03.017,"National Research Council, Italy",2013,7,Summer,0.173953307123438
0276422-0000834,2022-06-17 05:00:00,42.741665,9.176833,Western Basin,0.0,Manta net,0.33,0.251495,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2022,6,Summer,0.22433883667595791
0270530-0000016,2014-06-28 05:00:00,42.8381,9.2867,Western Basin,0.16,Manta net,0.333,1.990702,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,6,Summer,1.0955081424541673
0253450-0000023,2013-05-16 05:00:00,40.231167,18.506167,Adriatic Sea,0.0,Neuston net,0.2,0.97561,pieces/m3,Medium,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",2013,5,Spring,0.6808772114249134
