Model,Log MAE,Log RMSE,Log R2,Original MAE,Original RMSE,Original R2
Random Forest,0.33679563170684107,0.5120833614008884,0.3732997048198956,1.3364301188743934,4.965991637825499,0.10133018299592023
Gaussian Process,0.33997968306749954,0.5141872996193614,0.36813942246520337,1.3309876214880956,5.026891762291942,0.0791534693897763
Linear Regression,0.39339809996159003,0.5985928931777856,0.14366896880033864,1.4301526777732196,5.225218765805301,0.005059422187397855
