Model,Log MAE mean,Log MAE std,Log RMSE mean,Log RMSE std,Log R2 mean,Log R2 std,Original MAE mean,Original MAE std,Original RMSE mean,Original RMSE std,Original R2 mean,Original R2 std
Gaussian Process,0.38608376191855215,0.052989160453624944,0.566490377325901,0.09089470737965205,0.22579225808648234,0.09980354693596345,1.7214988896288812,0.901951334064902,10.007174304305448,8.567584116270199,0.0533687878537908,0.07836297364541307
Linear Regression,0.4342289698359421,0.03667049645676445,0.6261020813408955,0.08264273608365716,0.04639517111675838,0.13285469645882667,1.8175461902240542,0.8722205833597755,10.130049280680748,8.582779799703205,-0.0017381828564549616,0.022395557112984556
Random Forest,0.3913073353099623,0.05802475220460117,0.5773009691304738,0.0907581919246463,0.1951328606116467,0.1030860761347715,1.7354628887396142,0.9006968962905746,10.046040249231334,8.614083479197516,0.048525715467132066,0.07814203539743897
