Model,Log MAE,Log RMSE,Log R2,Original MAE,Original RMSE,Original R2
Linear Regression,0.6112622509648152,0.9762583564187349,-0.24565111672864393,3.75983935123112,20.79774914876609,-0.029154183983457482
Gaussian Process,0.6532820332272895,0.9848118508941571,-0.26757429998811455,3.8303730743474023,20.802072800476065,-0.02958213094453499
Random Forest,0.6541392318146325,0.986548535974044,-0.2720488976540849,3.827322842001742,20.801142706743992,-0.029490064496374258
