Strategy,Random State,Samples Used,Uncertainty Weight,Geographic Weight,Log MAE,Log RMSE,Log R2,Original MAE,Original RMSE,Original R2
random,0,30,,,0.5121580427685586,0.7111687731249885,-0.4664610569768006,1.5705874991592845,3.3879380438852746,-0.07096139138445334
random,0,40,,,0.46496654109424124,0.6582451827425959,-0.25632081612602975,1.4553265096554915,3.6880981247243905,-0.26913502525956856
random,0,50,,,0.41281274175774324,0.5830694470566398,0.014252358689952671,1.2328302633885984,3.3250301685757746,-0.03155900701189629
random,0,60,,,0.39667717932652463,0.5736516032790843,0.04583913449785082,1.2012859108803033,3.318081340895815,-0.02725189685039875
random,0,70,,,0.3847792917392738,0.5693753548502394,0.06001157288636316,1.1777618668226557,3.2956805282480843,-0.013428485778830712
random,0,80,,,0.40592793184949627,0.577314953128587,0.033613644434358436,1.225127859792145,3.2885282777453386,-0.009034595503663256
random,0,90,,,0.4060972321906122,0.5652272455897602,0.07365800560932367,1.227756982545758,3.1265703343493105,0.08790662544452443
random,0,100,,,0.4141561278220621,0.5683822519148208,0.06328776371413891,1.2349273091458257,3.1510346536441456,0.07357715911841867
random,0,110,,,0.4135181682560974,0.5758515154839344,0.038506826832061636,1.2382244456354392,3.1691102521230254,0.06291800806888614
random,0,120,,,0.4433363354950653,0.5731424783385316,0.04753204887046614,1.2151919052955436,3.067204251695843,0.12221472671983569
random,0,130,,,0.44719872147739853,0.586113604724259,0.003932474340518577,1.2449739823124986,3.164996674238757,0.06534913710381263
random,0,140,,,0.4455023054297704,0.5840005250740776,0.011101650767140758,1.2391694311042338,3.1680119638825657,0.06356740661461135
random,0,150,,,0.43896881514511327,0.5798018898358276,0.025269782205631697,1.22593692141786,3.167404135672105,0.06392670800003863
random,0,160,,,0.4274664414192605,0.5726784371050692,0.04907374397985165,1.2031022774725437,3.1641670902218495,0.06583903954600578
random,0,170,,,0.42045209112056847,0.567830539049881,0.06510536224016905,1.1901968213999323,3.162046985272071,0.0670904625653177
random,0,180,,,0.4192816224936762,0.5689949798494242,0.06126708443771389,1.1879647134044604,3.168801932705873,0.06310033465029352
random,0,190,,,0.4160392270306663,0.5668524338383172,0.06832335666648048,1.1817836678797922,3.166994700959121,0.06416869551543192
random,0,200,,,0.4165551123059865,0.5681034156694263,0.06420660048336457,1.1832690424369219,3.1708154381274447,0.0619093154978253
uncertainty,0,30,,,0.5121580427685586,0.7111687731249885,-0.4664610569768006,1.5705874991592845,3.3879380438852746,-0.07096139138445334
uncertainty,0,40,,,0.5367702982950566,0.7401622606387196,-0.5884701269571204,1.6493075739637237,3.476647390565454,-0.1277794761751112
uncertainty,0,50,,,0.5229033686376926,0.7091720700849933,-0.45823803915197825,1.5694158074999978,3.3090632104745734,-0.021675600442327303
uncertainty,0,60,,,0.48312435379651686,0.6546005858660833,-0.24244724119484196,1.4295096339213471,3.2405808949516843,0.020174743686401708
uncertainty,0,70,,,0.4767615536094302,0.6489117361572655,-0.22094593825726339,1.4103590836122317,3.2213672047876565,0.03175923968617589
uncertainty,0,80,,,0.467005364855523,0.6421757697592241,-0.19572967283197062,1.3864372886226408,3.2203933873866117,0.032344548422102326
uncertainty,0,90,,,0.4655357379165877,0.6279241763655534,-0.14324572471050656,1.3658262909991634,3.229555558930736,0.026830664855040487
uncertainty,0,100,,,0.44036761228041726,0.6074269031571454,-0.06982618360544035,1.296578415673536,3.2467715432506004,0.016427546740239052
uncertainty,0,110,,,0.44655124287010606,0.6097480991803074,-0.07801818502824087,1.3002372069242463,3.22924756868289,0.02701627081064062
uncertainty,0,120,,,0.46164835712668967,0.6212476245316044,-0.11906331507486256,1.335899136585853,3.228597904321841,0.027407723775850434
uncertainty,0,130,,,0.4541555712977844,0.6150508445240066,-0.09684993811128506,1.3194608048517973,3.232758961635414,0.024899130111318946
uncertainty,0,140,,,0.4435948287141065,0.6001069459027154,-0.04419710251092601,1.3033759491454635,3.199882821023803,0.04463122030209277
uncertainty,0,150,,,0.4159466353334279,0.5786425201867812,0.029164018515818624,1.231776756649057,3.240756360417677,0.0200686329887656
uncertainty,0,160,,,0.411392700883171,0.5747635846647089,0.042136408106849044,1.2223614686748099,3.236037997269787,0.022920008179943996
uncertainty,0,170,,,0.4002448288599555,0.5588133944308361,0.0945618453735303,1.170923091238887,3.1955044637713916,0.04724386852982643
uncertainty,0,180,,,0.39839193733885064,0.5539156907027516,0.11036366597825764,1.1546908140980714,3.1828655796176006,0.05476566087829915
uncertainty,0,190,,,0.3998260767290009,0.560081011614164,0.09044937864820912,1.1575400358575174,3.19034002707771,0.05032098682058406
uncertainty,0,200,,,0.40388201067698976,0.5624335986159051,0.0827923041545221,1.165321112914089,3.189722090082364,0.05068883786985767
geographic,0,30,,,0.5121580427685586,0.7111687731249885,-0.4664610569768006,1.5705874991592845,3.3879380438852746,-0.07096139138445334
geographic,0,40,,,0.4145631724267367,0.6091002366918805,-0.07572859523562725,1.2700557945237057,3.378521038225671,-0.06501604466745525
geographic,0,50,,,0.41928046899513327,0.6086225712030919,-0.07404205198895619,1.2863335880473925,3.360414007127347,-0.05363082503278371
geographic,0,60,,,0.41460362474816626,0.6022595627795658,-0.051701723926240506,1.2732191646398492,3.342904003018861,-0.0426791898985317
geographic,0,70,,,0.4301728129546279,0.6216622431649578,-0.1205575319213319,1.330808103629318,3.3794027572485317,-0.06557200831578003
geographic,0,80,,,0.41008742359018086,0.5970305077694789,-0.03351842721979037,1.2513921756778892,3.2983392724156313,-0.015064283852358473
geographic,0,90,,,0.391903438444863,0.5800060896517196,0.02458308288883304,1.1904191458882347,3.277006085106788,-0.0019761656049663845
geographic,0,100,,,0.3871881243840555,0.567279197258382,0.06691997490919122,1.1556821536821127,3.2512599745514437,0.013706228760229644
geographic,0,110,,,0.38492235262283625,0.5718510779802188,0.05181940067818691,1.1569678180390186,3.2566401128330447,0.010439318459751434
geographic,0,120,,,0.377808009765324,0.5577030328258684,0.09815647980509534,1.1288487162769203,3.2329287042505683,0.02479672809555422
geographic,0,130,,,0.372969316700417,0.554695306178329,0.1078576443756537,1.1173712451317845,3.225034305690528,0.029553556629400957
geographic,0,140,,,0.3759826911783134,0.5580128245300237,0.09715429326397418,1.1278109017761448,3.2266344549143047,0.028590314559369223
geographic,0,150,,,0.3723441177191432,0.5542921598366112,0.10915397128917936,1.1262900409953147,3.2228603031001066,0.030861475731828403
geographic,0,160,,,0.36837522049618454,0.5521035936267442,0.1161749129870635,1.1188507893407513,3.219420617139293,0.03292905109091526
geographic,0,170,,,0.3671276337609121,0.5507261130494743,0.12057964120687525,1.1141802347270013,3.220344618211018,0.03237385627094136
geographic,0,180,,,0.377106937677829,0.5544176319274012,0.10875061373519801,1.1310162106875647,3.2178743182790996,0.0338578030407547
geographic,0,190,,,0.37713550036998184,0.5633301257551785,0.0798658894669736,1.131759795504621,3.2349522840909257,0.02357553241491106
geographic,0,200,,,0.36776677386391665,0.5554097781561539,0.10555792698936173,1.0984428857786093,3.2411044773847038,0.019858096299608885
hybrid,0,30,0.3,0.7,0.5121580427685586,0.7111687731249885,-0.4664610569768006,1.5705874991592845,3.3879380438852746,-0.07096139138445334
hybrid,0,40,0.3,0.7,0.4233680657222979,0.6013469715109053,-0.04851689563222794,1.2742741781190619,3.304453816023335,-0.01883127526282613
hybrid,0,50,0.3,0.7,0.40333127182114803,0.5902319185911375,-0.010114394361432355,1.2392910059315894,3.31433625722327,-0.024934308584346754
hybrid,0,60,0.3,0.7,0.40863541091333017,0.6096018726486333,-0.07750119790219578,1.285844764581971,3.33525109430558,-0.037910644415591666
hybrid,0,70,0.3,0.7,0.3988003648641156,0.6120823277054446,-0.08628768946964493,1.2784397277942556,3.3432482804426074,-0.042893966864745225
hybrid,0,80,0.3,0.7,0.3988627319802408,0.6168439545699962,-0.10325474060948792,1.2857355474957823,3.3621855497597504,-0.05474202378728488
hybrid,0,90,0.3,0.7,0.39246888267360036,0.5949102987621165,-0.026190881443539427,1.246938955786777,3.2796143196211225,-0.0035717859815656006
hybrid,0,100,0.3,0.7,0.3765727530071495,0.5712171736610742,0.053920376478767906,1.188135819509211,3.257314638676464,0.010029353983511013
hybrid,0,110,0.3,0.7,0.3720326950357834,0.5678901589452637,0.06490903167035234,1.1796910956708617,3.241645060538536,0.019531113697326408
hybrid,0,120,0.3,0.7,0.36995913984791556,0.5678644954580033,0.06499354503102905,1.1780794375065753,3.2441494547951946,0.018015568894707568
hybrid,0,130,0.3,0.7,0.3624939766041136,0.5552177153173802,0.10617642305390029,1.1447048219275795,3.2003810312120535,0.04433370221161381
hybrid,0,140,0.3,0.7,0.3652480980455962,0.5477642855901425,0.13001332244081198,1.1348381637228766,3.175828424359896,0.05894077118647634
hybrid,0,150,0.3,0.7,0.36014762330402583,0.5414794636053282,0.1498625327870876,1.112293443314669,3.177421808207624,0.05799623355224426
hybrid,0,160,0.3,0.7,0.3566586665168004,0.5384934486876255,0.1592129289680968,1.0987631335935002,3.1875015814133367,0.05201009400756407
hybrid,0,170,0.3,0.7,0.3600057430943471,0.5419440727645468,0.14840300889092872,1.1085312621617642,3.191817828059941,0.04944097929142888
hybrid,0,180,0.3,0.7,0.3632645060285778,0.5497528490364767,0.12368518449087851,1.121819334234691,3.1995581050691007,0.04482510724258293
hybrid,0,190,0.3,0.7,0.36052864004359875,0.5420623149741814,0.14803136281203266,1.1041956867431393,3.1910232842643262,0.04991416843246088
hybrid,0,200,0.3,0.7,0.3625459312893811,0.5390595005023903,0.1574443682127784,1.1031027174268124,3.1843675225195662,0.0538733687379328
random,1,30,,,0.4373758556791728,0.5997820646685431,-0.043066809925147664,1.2676062697045816,3.237931032784393,0.0217765184340748
random,1,40,,,0.4153427132776718,0.6132456130543005,-0.09042067392456121,1.2543843446882432,3.310479425802465,-0.022550302543073775
random,1,50,,,0.4282434630109411,0.6210389430270493,-0.11831163865717231,1.2777881413642722,3.2839534112515656,-0.0062290927140975505
random,1,60,,,0.4286869613710779,0.6201773181150338,-0.11521071638354274,1.2753600352708139,3.29398685247414,-0.01238713591515661
random,1,70,,,0.4017259241340302,0.573594689761329,0.04602845483512363,1.1757946279312705,3.2128574496420024,0.036868007674109804
random,1,80,,,0.39689675548522424,0.5681198036175237,0.06415261047228116,1.1628753371387541,3.2166969045785745,0.03456469264141149
random,1,90,,,0.39448996250752494,0.5686882809034276,0.062278800927176636,1.161943356511219,3.2197769954367494,0.03271493668049397
random,1,100,,,0.397311951324751,0.5708356155747686,0.05518386708532386,1.1696457938364466,3.212720472532885,0.03695013034888339
random,1,110,,,0.4044546696784956,0.5757851171143062,0.03872854335715281,1.1947709200588417,3.183855069959565,0.054177859974185893
random,1,120,,,0.4055068617155282,0.5709052680136042,0.05495328314468817,1.2012349126380562,3.1574156930520947,0.0698212332568241
random,1,130,,,0.398998641320339,0.5678482617106135,0.06504700300123256,1.1767411142799495,3.157801009235718,0.0695941901070779
random,1,140,,,0.4018355672504135,0.5724752284720976,0.04974847565513962,1.1937567840238408,3.1038229307676097,0.1011302402034483
random,1,150,,,0.40190370365364486,0.5760049303582768,0.03799444820880904,1.196109154419526,3.1070093275386728,0.09928372644227823
random,1,160,,,0.3787019419822732,0.5449290734618537,0.13899606676177256,1.1225095138791337,3.08974436900872,0.10926607359946938
random,1,170,,,0.3775202570000425,0.5437607383334511,0.14268411650728285,1.118950779973826,3.092299468628034,0.1077922591404612
random,1,180,,,0.37853175460501165,0.5407776944892986,0.15206469798646682,1.1211514400407996,3.0792874244662407,0.11528507866092685
