Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,ObjectId,x,y
0260245-0000011,7/29/2013 5:00:00 AM,32.152,34.783167,Eastern Basin,0.1,Manta net,0.333,3.179396,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",10219,3872044.4386174,3783279.56856439
0275968-0000387,7/17/2010 5:00:00 AM,42.7337,9.0328,Western Basin,0,Neuston net,0.33,0.918317,pieces/m3,Medium,Eriksen et al. 2014,https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,11284,1005526.69643748,5271525.71281764
0276422-0000525,6/5/2019 5:00:00 AM,43.153033,6.52905,Western Basin,0,Manta net,0.33,0.033896,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22857,726810.521363823,5335294.11397663
0276422-0000264,8/2/2017 5:00:00 AM,41.66,3.051667,Balearic Sea,0,Manta net,0.33,1.007811,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",21792,339710.016510637,5110184.37641523
0253140-0000008,3/18/2015 5:00:00 AM,37.508333,-0.878333,Western Basin,0,Manta net,0.335,0.174,pieces/m3,Medium,de Haan et al. 2019,https://doi.org/10.1016/j.marpolbul.2019.01.053,University of Barcelona,10348,-97775.5823069284,4510200.70445115
0276422-0000273,8/6/2017 5:00:00 AM,36.666667,-3.933333,Alboran Sea,0,Manta net,0.33,0.052784,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22093,-437856.626680379,4392745.75370388
0275966-0000005,1/28/2018 6:00:00 AM,36.716517,2.788723,Western Basin,0,Manta net,0.33,0.918063,pieces/m3,Medium,Setiti et al. 2021,https://doi.org/10.12681/mms.24899,University Campus of Dely Ibrahim,11370,310439.22432349,4399666.23097217
0260245-0000086,12/7/2014 6:00:00 AM,31.8705,34.6625,Eastern Basin,0.1,Manta net,0.333,7.468237,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",11625,3858611.84962184,3746323.7180762
0276422-0001006,7/10/2023 5:00:00 AM,43.945168,8.1825,Ligurian Sea,0,Manta net,0.33,1.409421,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22476,910871.733415961,5456960.72226985
0276422-0000895,6/4/2022 5:00:00 AM,36.946999,15.428333,Ionian Sea,0,Manta net,0.33,0.512523,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22731,1717474.17334906,4431721.70396311
